stars,text
1,"We just moved back into the hood from Anthem and man what a BUMMER this Safeway is. I LOVE LOVE LVE LVE LEV LOVE LOOOOVE Safeway. I will drive any distance to shop at a Safeway - what a bummer this is only 1/2 a mile from my house. 

Went last night and was utterly appalled at the mess of a store I walked into. The aisles were a disaster - product was thrown everywhere or was completely out. I thought this was a grocery store? A place to buy FOOD?

One checkout line open and a miserable employee ringing. If I wasn't in the middle of baking dessert at home I would have tossed the ingredients I needed back on the shelves and gotten the hell outta there. 

Thank GOD the Safeway on Osborn is only a short ride away."
1,"The store manager is lazy, rude and unhelpful. Same with the assistant manager Charlie. I feel really bad for the reps who have to work under such poor management.  I got no help from anyone when it was clearly a problem caused by someone at that store.  The manager refused to take me off speakerphone even when it was obvious that the echo in his tiny, depressing office was making it impossible to communicate. GO TO THE ARCADIA STORE AT THOMAS AND 44TH. MUCH BETTER!! BOYCOTT THE CAMELBACK STORE!"
1,"I need to tell you about the worst hostess experience I've EVER had anywhere.  Ann was unable and unwilling to even pretend to try and accomodate our simple seating request to have our 2 parties sit near each other, even though I'd made my reservation 2 weeks in advance withthat specific request.  Her attitude was unacceptable."
5,"Sigh.  I'm in love.  If only I lived closer to Cheuvront.  Maybe I'll move downtown just to be closer....

My husband and I went in on a Saturday night for a few glasses of wine.  Once we saw the desserts, however, we knew we had to try it!  I ordered the pumpkin bread pudding which was very good (it wasn't the Harvard Faculty Club, but then again...what is?) and my husband selected the coconut pie.  Both servings were huge and covered in whipped cream.  They were fantastic.  Finally, a place to go for dessert here!

We chose to sit at the bar and the bartender was amazing.  He offered us complimentary tastings of two delicious dessert wines and then even offered us a complimentary mini cheese sampler with an amazing sheep's milk cheese.  The atmosphere was perfect, it was laid back, kind of cafe/bistro-ish but still modern.  They were playing The Food Network which I absolutely loved...I've never seen that in a restaurant before! It was a great touch.   The wine list is extensive and reasonably priced.

They have a wonderful wine dinner with four courses for only $55 a person!  I'm eager to attend one in the future and I definitely plan on going back for dinner in the near future.


And that folks, was my 400th review. :)"
5,"One of the greatest treasures of Madison. There's no better place to simply relax and enjoy the beauty and variance of nature. 
The only downside: the inevitable disrespectful patrons. Particularly when it comes to the Thai Pavilion. Usually this means people with kids, but just as often applies to adults that can't seem to understand the words ""Please don't touch""."
1,"I get all my crafting supplies from
This store.  It's an awesome place to shop if you know what your looking for."
5,"Love the sour dough bread...they make great grilled cheese. The bagels aren't too bad......they will make due until the next time you get to New York. My favorite bagel is a fresh asiago cheese with tons of cream cheese. Yum!  The broccoli cheese soup is also very tasty.  I love that they have cage free eggs and antibac free chicken. I appreciate that they are starting to care more about the products they are serving. The only question I have is this...are the chickens free range? 

This Panera is rather loud and always busy."
1,"Ok, seriously, I gave this place 1 star but only because they have my favorite Irish Ale on tap - and they should because it's an Irish pub.  I suppose it would be an ""okay"" place if you want to hang out in a neighborhood bar and play pool and/or video games and drink at a mediocre price.  I read on their white board that they have a live blues band a couple of nights a week (Fri/Sat maybe?), which, if they're decent, could be pretty cool.

Anyway, let me walk you through my experience...

It's Tuesday night and my friends want to go to a karaoke place.  Why they chose this place I will never know.  I was actually a little scared when we walked up.  Some of the patrons were outside smoking and they looked a little rough around the edges.  Now, I'm really not one to judge based solely on appearance, but...  I digress.

The bar itself is laid back.  Wood paneling, some high tables, low tables, long bar with stools.  Plenty of room for big groups.  I would say there were a couple dozen people there which is pretty good for a Tuesday night.  I didn't visit the bathroom because I was scared to see what it looked like.

The bartender was just ok.  I got my first drink (draft beer) pretty quickly.  However, when I went up to the bar for a second beer, the bartender was nowhere to be found.  I stood there for about 10 minutes.  She finally came back in after her smoke break and poured me a beer.  I still tipped her because that's how I roll.

The karaoke was AWFUL.  The song selection was large, but I couldn't seem to find any of my regular songs, which are popular hip-hop songs from the current decade.  If you're into singing Limp Bizkit, Metallica, Pantera and other songs from way back in the day, this place is definitely for you.  You will be entertained by middle-aged obese men moshing next to their table and growling into the microphone, while the host either sings uninvited backup or makes out with her boyfriend.  But that's not even the best part.

My friends and I wanted to sing a specific song and the host overheard us.  She said cool.  We tipped her (heavily) so she would move us up in the rotation.  We waited about 20 minutes.  Then, she came over and said she didn't have that song.  Surprise.  We asked her to move our other songs up in the rotation and she said no problem, but she did ask me to change my selection (?) for some reason.  I didn't and I really wish I could have gotten my money back.

It's the most ridiculous karaoke experience I have ever had in my life and I won't be repeating it... ever.  I guess that's what I get for going to a local Irish pub to do karaoke!"
5,Great food. Friendly staff. No complaints.
5,"Mexican food is funny because it's one cuisine that we tend to have so many favorites in that we need to make sub-categories. As such Comedor Guadalajara would be filed in my database as the Mexican seafood place that I won't eat all day in anticipation of over-eating at. This is a very thin category, in fact it's the only one. The Veracruz style snapper is single-handedly responsible for keeping me from moving to another city. The shrimp tacos certainly pitch in on this retention campaign as well. Let's go back to the snapper for a moment, shall we? This dish serves an ample portion of fresh snapper  in a near stew-like combination of jalapenos, onions, bay leaves and a rich tomato sauce. If that's not enough, you have the option to add shrimp. 

If I'm not feeling like eating off the coast, the chicken mole is sure to get my vote. The mole here is so good that I get a little insulted when I see it on menus elsewhere. The chicken is pulled from the bone and seems stewed as it's very tender and juicy. 

Service is always quick and friendly here. Decor is not the most inspiring here, but in Mexican restaurants I think that is a badge of honor. Folks of my pale pigment may pass on this place because it's location is rather industrial and low rent. That's fine by me, they can go to Macayo's and I'll take my usual booth under the spray painted swordfish."
5,"I have been ordering coffee from Johnson Brothers for years.  The company sources the best beans from all major coffee-producing areas (often single origin).  More importantly, the company is dedicated to supporting eco-friendly production methods and is certified Fair Trade.
While I value social responsibility in companies, what counts most is the quality of the product.  In this regard, the expertly roasted beans from Johnson Brothers afford coffee drinkers with an amazing array of taste experiences, similar to fine wines.  
The fact that these outstanding coffees are sold at very fair prices and can be ordered without shipping costs (order of 3 bags or more) is another reason why I am a dedicated Johnson Brothers Coffee fan."
1,"decent bbq (gets waaaay more hype than it deserves really) that is hampered by the fact that i have gotten mediocre-to-bad service every time. i usually stick to only good reviews but this weekend was the last straw.

brother and i went in saturday 041214 to use a Groupon and it was a hassle- if you don't want to deal with Groupons, you can always, y'know, NOT SIGN UP WITH THEM VOLUNTARILY. then we were told multiple different prices with the excuse 'uh, certain specials aren't allowed to be used'. well a) that isn't noted anywhere b) the items ordered were on the menu, not listed as 'special' c) they told us we had to order the full amount to get the discount, which is not how ANY Groupon deal i have used works (ie, the $20 credit wouldn't kick in until we ordered $20 worth of food. yeah, what? its a $20 credit! if we ordered $18, that means its all covered, not that we need to buy another side we didn't want!)

on top of that, we only got half our order at first, my brother went to ask about his and was told he cancelled the other half of the order. the part that was paid for and on the receipt? at this point he was pretty annoyed and the on duty manager came out and was condescending and telling him to calm down. then was told that his order was being made fresh so it was gonna be awhile- only to have it come up right then. this trip didn't make sense and they didn't really seem to care. not really in a rush to go back ever at this point. your bbq is ok, but i can go to Astor House up the street and not deal with this kind of headache.

i am not a bitchy, crabby person, i deal with the public all day and as such try to be understanding when situations come up and things take a while...but this is not an isolated incident and their attitude about it sucks."
5,"My husband and I were looking for a unique place to stay for our anniversary. We had looked into some area hotels but, the website of the Speckled Hen Inn B & B was very inciting and truly sparked our interest to try it.  SO GLAD WE DID!!

From the moment we were greeted by one of the owners, we felt welcomed and comfortable.  Beautifully clean, decorated and comfortable.  The room we chose was amazing....the privacy, quiet and relaxation was just what we wanted and loved.  
(luxurious bedding, tub and shower)

Breakfast was truly delicious and thoughtfully prepared.  Just one other couple was staying at the same time as we did and it was fun and interesting to have breakfast with them and the owners Pat and Bob.

Love their ""greeter"" Happy the dog...he is just as his name says...Happy (sweet and friendly too).

We were sad to go and look forward to coming back in the near future for more than just an overnight.

If you have never experienced staying at a B & B, THIS is the location to try.  Once you stay here other's will pale in comparison.

Madison WI is a neat city to investigate and is well worth the trip up North.....

Thanks to Pat and Bob...your doing a wonderful job...keep it up!"
1,"I brought my car in for an oil change and told them I had noticed that the front tires vibrated or shook at high speeds.  Left the car for them to check things out.  The called me to tell me I needed new tires, that there was uneven wear.  I told them to put them on and do a front end allignment.  When  I went to pick up the car, they told me it needed ball joints and tie rods, so they did not do the allignment (said it would have been a waste of money with the bad ball joints and tie rods).  When they discovered the problem with the tie rods and ball joints, they should have called me back.  Took it some place else to get a second opinion.  I was told Firestone should have never put new tires on the car when ball joints and tie rods were needed.  I will never go back to this Firestone."
1,"Please do not ever go here.  This is a public service announcement.  I do not even know you and I like you too much to suggest this place.

1- Prices?!  Are you kidding me?  $6 for a milkshake?  It was tiny.  Not to mention it was not much of a milkshake.  It was a peanut butter cup shake.  They took some peanut butter cups, crushed them and stirred them into custard with some milk.  I saw the whole process.  It was not very impressive whatsoever.  The flavor was ok.  

2 - The food.  I had a chili cheese dog.  This is my standard order when it is available on the menu.  The chili tasted like Hormel.  The hot dog was hot and the chili was warm.  I like that they have shredded cheese on it, rather than liquid cheese.

3 - My dining companion got a burger.  It tasted ok, but it was a very thing patty. He also ordered cheese curds with it.  They were so greasy and lacked any good flavor in the breading.  

Overall, we spent nearly $20 there and I was not satisfied with my meal.  Every talks so much about how great the custard is.  Nope.  Not good.  Go to Culver's!  Seriously, for $6 you can get something TWICE the size with more mix-ins.  Better yet?  Get a cone for you AND a friend."
5,"This place is the place to go for when you plan to throw a BIG MEXICAN/LATIN FIESTA!!! Si, si, si!!!!! :) 
:) They are awesome, It reminds me of Mexico and its Open-aired local markets. Great prices, freshly made corn Tortillas and its also the perfect place to request freshly grounded masa. Thats if you know how to make Tameles from scratch.
 I have never dined there, but food looks good!!  I LOVE THE AGUAS FRESCAS!!! OH SOO AMAZING Horchata, Fresa, Sandia and Papaya water!!!! :) YUM, YUM!!!
Great service, big smiles everywhere and a large variety of products and produce!!"
1,"Bad service, no bread, no drink refill , took 45min to get our first drink:( ouch , used to love this place but service sucks"
1,"""They don't need your help. You probably waited 5 min and have now wasted more time out of your life. Armed service people?!?
Yea so they can ask for a military discount for not being able to make a real life choice about direction. Take orders as a server , then talk to yelp bout educated disappointments of yours."" -CatchM T.
First of all this was my experience at this restaurant and I do not need any ""compliments"" from anyone telling me that it wasn't. Since you would like to know, I've never been a server because I do not want to be one but I'm sure it's so much more harder than being a ""armed service people"" (as you like to call them). I do however know a thing or two about customer service  (my review says the servers were standing around talking to one another meaning they could have easily taken the 10 seconds to walk over and say they were no longer taking anymore customers or whatever the reason was). The one thing people in customer service know is the customers pay your bills! Without them you're broke and out of business! That is why It doesn't matter if it's a $2 check or if business is doing so well that you don't need or care for any new customers, you should always treat the last customer just as good, if not better, than the first. I'm also sure people could care less but I can also talk to yelp A bout any educated disappointments I would like."
5,"Hard to find a good $100 burger (airport restaurant). Had an awesome BLT with great service and an ice tea for $10.90 plus tip. Place really hops at lunch time, for good reason."
5,"Looking for ""that"" spot where the moment you walk in, you fit in?  

Looking for a home cooked meal...without having to lift a finger? 

Looking for a place to pop a squat and shoot the shit?

Look no further than the Greenie!  

Breakfast, lunch, happy hour or dinner....it always fills the bill. 

Love taking the family there for weekend breakfast.  From the waffle sundae for my youngest to the seafood omelet for me...they have it all.  Huge portions...great prices! 

Swing in and ask for my favorite bartender, Joy to make you her ultimate bloody mary made with Effen Cucumber Vodka.  Yeah...she rocks it.  

It's all good..."
5,We use Fast Signs for the vinyl lettering on our service vans. Good prices and the colors hold up great in the AZ sun.
1,"Cheesy and totally overrated - the carribean fare in a Jimmy Buffet inspired setting is all good in theory, but the colorful interiors and catchy tunes are little compensation when you spend most of your time keeping flies away from your crappy food and balancing the BAD shaka-ritas (margarita flights) on creaky wooden tables in the patio.
The food was uniformly ordinary - my vegetarian baja burger was way too spicy to be enjoyable, the crab-cake burger was a disaster and I left my fries practically untouched, which hardly ever happens! Overall, one of the worst restaurant experiences for me."
5,"this place is on my list at least a couple times a month, and it's probably the only restaurant in madison that can claim that.  

The only thing I've got to say on the negative side is the crawfish off season are a bit mealy and I have switched to shimp.  everything else is spot on, esp the read beans and rice.  oh, and it's closed on  sunday...which is always the day you start to crave a po' boy. 

What do I say you get.  for 2 ppl, we get a full order of shrimp etoufee, shimp creole and a red bean and rice double meat.  all with french bread.  it's a ton of food but oh so good."
1,The worst experience I've ever had. I should have known better when they told us 15 minute wait turned to 40. Then finally seated by the door a crowd of people also waiting for to be seated standin behind us. We waited 15 then for our server to make his first appearance...we left. Ridiculous.
1,"The ABSOLUTE worse experience I have ever had ordering flowers! I made an order to have flowers delivered to my wife's work on Valentine's day. I looked at the exotic flower arrangements that Cactus Flower Florists carried. And I found one I knew my wife would love. They were a ""Birds of Paradise"" arrangement, we have just moved from Hawaii to Arizona and I thought it would be a great choice. I ordered and purchased the flowers and made sure that they would be able to be delivered by Feb. 14th Valentine's day. Well the day finally comes and my wife never gets the arrangements and when I call the florist to inquiry about the delivery a female employee, who I am later told name is Laura, tells me that the date of delivery was for Feb. 15th, now if I did not see that the flowers would have been delivered on valentine's day why would I schedule it for the day after, it kind of defeats the purpose, I would have looked somewhere else or just picked some up myself. Anyway she goes on to tell me they will not make any more deliveries that day. So I end the call now expecting them to deliver the arrangement on the 15th. Again the 15th is here and still by 330 p.m. my wife still has not received the flowers. I again call and ask about the delivery, after being transferred 3 times was told that on their system was a note saying that they had called me twice and left two messages (I never gotten any calls by them) that they did not have the birds of paradise flower and needed to have it replaced, this note was said by them to have been put in the system on the day I ordered the flowers. So not only did they say they called which they did not, but when I actually called them and spoke to a represenative nothing was told to me about this, nothing was ever mentioned about not having the flowers I ordered. Frustrated at the whole ordeal wanted it to be done with I agreed to let them send another ""exotic"" arrangement in its place. What my wife received that day was as pitiful arrangement as I have ever seen, not worth the over hundred dollars I spent. I could have pulled weeds out of my yard that were nicer! 
So to some it all up CACTUS FLOWER FLORIST is a sham and you should not waste your money here!"
1,"Worst McD's in the world wide Franchise!!! I live down the road and they consistently serve old, soggy fries!  The workers consistently sound irritable and commonly get your order wrong.  I usually would not waste my time reviewing a McD's but after 10+ visits to this McD's I am thoroughly dissatisfied.  Do your self a favor and drive down the road to the next McD.  Especially if you want hot, fresh, crispy McDonald's Fries!"
5,"Good food , excellent service from the hostess to the waiters! Attentive ,friendly ,quality, cleanliness a+"
5,"I hate to let a good secret out but these folks not only work on lawn mowers but have a trained and certified BMW mechanic on staff.  They were fast, did excellent work and were totally affordable and when fixing a BMW affordable is rarely a word used.  They work on other cars as well but I can't speak to that.  They also we t over my car and let me know what preventative work will be needed and about how much time I had to get it done.  Being new to Madison I was worried about finding a mechanic I could trust.  I'm not worried anymore."
1,This place is nothing wonderful. The croissants are nothing out of the world. They are half the size of what you would get else where and double the price. They are the most expensive I have had in all of US at $4.80 a piece!! They were stale and nothing great and this was in the morning at 8am. Go else where
5,"i love this cafe everything on the menu is super delicious... the bar is awesome wish there was a tid bit of more room here ... i had such an amazing expirience i will deffntly suggest this too everyone it is a must... the staff especially is amazing  and in uniform as well always  oh so busy even at the latest hour   the cookies are great and the whle theme is aswell..

 go for urself an expirience some great u deserve"
5,"Listen, the environment is awesome. I LOVED the furniture. It's been many years (16 maybe) since I have been to any Old Spaghetti Factory, so it was really like a new experience for me. 

Anywhoo, the staff were kind and super attentive. The waitress was amazeballs. She had an eagle-eye. We didn't want for anything while we were there, she predicted our every need. I can't remember her name :( or I'd give her a special shout out. (If you read this, and recall us complimenting you in your eagle-eye, please comment on this, so people know how fabulous you are.)

I had lobstah ravioli, and it was delectable! I would definitely do this again, and order that every time. Compliments to the chef(s)!!!

Thank you all for an awesome dining experience!!"
5,"One of the coolest grocery stores I've ever seen. Between a variety of self-service bars and posting how many food miles the items are, this location is definitely ahead of the curve with grocery stores, without charging out the wazoo like Whole Foods."
5,"My husband and I attended the yelp sponsored date night at the Arizona Science Center. We had a blast checking out all the hands-on exhibits as well as the planetarium. The Van Gogh Alive! was an excellent immersive multimedia mix of art, music, and quotes."
5,THANK GOD! I am sick of co-ops. One shop for everything food. I like plastic bags and large carbon footprints. I'm not going to martyr myself and pay more for a smaller selection for some pinko environmentalist agenda.
1,"I did not have a good experience here. Upon a late check in, my business partner was told he was checking in a day late, they were expecting him the day before. After showing his confirmation confirming he was not supposed to be there a day early, he was told they would have to check with a day manager. The day after, they took care of it but the manager made it sound like it was his fault and she was doing him a favor by taking it off of his bill. 

The bathroom looked very worn, the shower and sink leaked. If you would like heat or air, the unit does not have a thermostat so it either runs or it is off. Very noisy. I was several rooms down from the elevator but I still heard and felt the vibration somehow. 

Every morning for breakfast (which was included) by 7:30 the two trash cans were over flowing. Food was average."
5,"I've been taking my dog to Dr. Nothnagel for 4 years, and have been consistently impressed with the level of care she receives.  My dog is a relatively high-strung German shepherd, and the vet is always calm and relaxed with her, which helps the dog be calm and relaxed as well.  I have found the cost of services to be reasonable and the office staff always explains the charges if I have questions.  They have even sent prescriptions for human-equivalent medications to Walgreen's for me so that I can save money."
1,"Omg!! Wow! rude. Rude. rude. After a busy long day (which included going to the dentist) I was so excited to sit down and eat my first meal of the day (at 4pm)---I was starving!!! At a table for one, I ordered a squid salad and three rolls. I thought ""hey even I don't finish it, I'll have a few pieces for lunch tomorrow."" the waitress (older Asian lady) said ""are u going to eat all that?I'm not giving you a to go box"" I was like , are you effin kidding me?!, and replied, ""I'm sure gonna try to!"" to which she argued, ""but you are so thin!"" I thought ""so if I was bigger, it would be ok? Wtf?""! I had to assure her that I eat a lot and was very hungry. Again, wtf?!
 She said ""well why don't u just get one roll, it's eight pieces.""
 do not tell your patrons what they should orderr! Ridiculous.
 We comripmised on two rolls, which I ate all of! Thank you! AND I was hungry an hour later without leftovers! I am so disappointed and insulted."
5,"The pupusas, yes, the pupusas are great. The loroco with cheese has become our favorite, But this past week, I strayed from our standard and tried the gallina soup with braised chicken and salad. All I can say is, ""What the hell? Where has this been my whole life?"" The soup is magical. Huge chunks of carrot, potato, and zucchini, with some thin noodles, and a savory broth with some mint leaves. I quickly abandoned the rest of my entree in favor of finishing the huge bowl of magic. It was the best soup I've had since coming to Phoenix 13 years ago. 

Good thing Hubby got sick this weekend- it gave me an excuse to go back and get some more. Being magical, you know it has serious healing properties. Here's where I learned that the Sopa de Gallina is chicken soup without the chicken meat and the Sopa de Pollo is the same thing but with the meat. Two huge Styrofoam cups to go with lemon wedges and 4 hot and fresh tortillas cost less than $6.00. I was stunned. The owner said it costs more with meat. Believe me, you won't miss it. Who knew that magic was so cheap? Hubby's fever is already down and he's feeling much better."
5,"I would like one of these in NY please!

Up until the day I came here I had never had a pimento cheese sandwich before. Let alone a grilled pimento cheese sandwich. So, you must excuse my inability to comment on this pimento cheese sandwich in relation to others. But,  holy fscking god, was this food good!

So good I came back the next day to get spinach rolls. Which were like spinach pie but in a crispy tortilla style roll served with some tomato based salsa. T'was fabulous!"
5,"Location, location, location.  Great place in downtown Middleton.  Close to all of the places you just need to visit, such as the Mustard Museum (yes, you need to go there), Hubbard St. Diner (try the pies or the carrot cake), and definitely go to the live band at the Capital Brewery a block away on Friday night.  Fantastic place to walk and just enjoy the ambiance of a great little town.  Oh, and free breakfast, free food and drinks on Tues-Thurs, free morning newspapers and spacious suites are all wonderful."
1,"I try to like you Postinos, I really do but you make it so hard.  Came on a Tuesday for their 8 PM $20 Bottle of wine and bruschetta special and left disappointed and annoyed.

The parking lot disaster strikes again!  LGO now put up signs saying 25 min parking for LGO customers only and has a lot monkey stationed to chase away people trying to park in those spaces.  I was told by the lot monkey that I could valet ($3 charge) or I could park 3 blocks away if I didn't want to pay the fee.  Keep in mind this is a Tuesday and I have to pay to park my car because the restaurant blocks off all the spaces.

Once seated my friend and I tried to catch up for a moment when the server came over to take our drink orders.  Since we had just sat down we asked for some time to take a look at the menu.  Our server came back a few minutes later and asked if we were ready to order.  No suggestions on a wine, no questions if we had questions, just ""you ready to order?""

We ordered a bottle and bruschetta and our waiter disappeared.  For the rest of the night.  I watched him refill wine glasses at other tables, ours was brought by another server.  Other tables had their plates cleared when they were finished, ours sat in front of us until another server took them away.  Our server obviously didn't want our business because about an hour after we sat down he came back to the table and asked if we were interested in any dessert.  We said no and he immediately dropped the check on the table and left.  No offer of another round of drinks, just here is your check.

The wine we had was amazing and was a steal at the price plus the bruschetta.  The bruschetta themselves were half assed.  3 of the 4 weren't even sliced all the way through but over all they were decent.

Yet again Postinos shows they want my money but not my patronage.  I don't understand how I am the only one who keeps having horrible experiences here?"
1,"I see nothing has changed with this store. I just watched a ups store commercial and I laughed out loud!!  Kimberly (the brunette bitch behind the counter) is still the most evil woman walking on the planet.  I have more respect for the hookers on Van Buren Street than I do for this low class, snotty, unhelpful useless piece of trash!!  Stay away from this store at all cost!!!!"
1,"Worst customer service ever. I had an issue with a rental of chairs and tables and the cashier was rude, disrespectfull and unhelpfull. The tables were dirty and breaking apart the chairs were filthy. I agree with the previous comment that the pinatas are nice and sturdy but thats about it."
5,"Probably the best yellow curry and pad Thai anywhere in the Phoenix area. The coconut ice cream was a nice, lite treat, too. Very friendly staff. When I went in, they seemed to know the regulars - which were quite a few.

One downside, seemed a little pricier than most other Thai restaurants, but worth it.

Definitely going back."
1,"Open 24 hours - only thing that rates a star; pharmacists lack customer service, time management, and efficiency skills"
